"accno","tran_dtm","amt","tr_code"
100056,2006-04-01 00:00:00,834482,D2
100057,2006-04-02 00:00:00,827661,D3
100058,2006-04-03 00:00:00,840176,L2
100059,2006-04-04 00:00:00,2680,L3
100060,2006-04-05 00:00:00,537167,D3
100061,2006-04-06 00:00:00,349155,L1
100062,2006-04-07 00:00:00,420231,L1
100063,2006-04-08 00:00:00,469738,L1
100064,2006-04-09 00:00:00,614505,L1
100065,2006-04-10 00:00:00,101561,D2
100066,2006-04-11 00:00:00,1194,L1
100067,2006-04-12 00:00:00,812849,D2
100068,2006-04-13 00:00:00,252505,D2
100069,2006-04-14 00:00:00,50353,D2
100070,2006-04-15 00:00:00,700907,D1
100071,2006-04-16 00:00:00,373906,D2
100072,2006-04-17 00:00:00,212987,L2
100073,2006-04-18 00:00:00,810113,D2
100074,2006-04-19 00:00:00,10443,L3
100075,2006-04-20 00:00:00,895956,D2
100076,2006-04-21 00:00:00,452385,D2
100077,2006-04-22 00:00:00,773351,L2
100078,2006-04-23 00:00:00,412714,D1
100079,2006-04-24 00:00:00,159245,D2
100080,2006-04-25 00:00:00,29716,D2
100081,2006-04-26 00:00:00,769983,D2
100082,2006-04-27 00:00:00,337514,L1
100083,2006-04-28 00:00:00,960460,D2
100084,2006-04-29 00:00:00,854377,D2
100085,2006-04-30 00:00:00,584147,L1
100086,2006-05-01 00:00:00,457286,L3
100087,2006-05-02 00:00:00,571769,L3
100088,2006-05-03 00:00:00,55744,L3
100089,2006-05-04 00:00:00,411786,L2
100090,2006-05-05 00:00:00,669271,L2
100091,2006-05-06 00:00:00,393823,L3
100092,2006-05-07 00:00:00,416317,D1
100093,2006-05-08 00:00:00,390258,L2
100094,2006-05-09 00:00:00,524531,L3
100095,2006-05-10 00:00:00,947542,D1
100096,2006-05-11 00:00:00,861184,D1
100097,2006-05-12 00:00:00,251063,D3
100098,2006-05-13 00:00:00,38942,D1
100099,2006-05-14 00:00:00,922992,L2
100100,2006-05-15 00:00:00,485415,D2
100101,2006-05-16 00:00:00,440234,D1
100102,2006-05-17 00:00:00,594600,D2
100103,2006-05-18 00:00:00,348206,D2
100104,2006-05-19 00:00:00,135958,D1
100105,2006-05-20 00:00:00,900387,D3
100106,2006-05-21 00:00:00,970619,L1
100107,2006-05-22 00:00:00,390890,D3
100108,2006-05-23 00:00:00,48895,D2
100109,2006-05-24 00:00:00,781138,D2
100110,2006-05-25 00:00:00,326381,L3
100111,2006-05-26 00:00:00,216460,D3
100112,2006-05-27 00:00:00,31188,L3
100113,2006-05-28 00:00:00,249027,D2
100114,2006-05-29 00:00:00,986346,D1
100115,2006-05-30 00:00:00,254718,L3
100116,2006-05-31 00:00:00,24207,L3
100117,2006-06-01 00:00:00,597433,D2
100118,2006-06-02 00:00:00,622752,D2
100119,2006-06-03 00:00:00,59254,D1
100120,2006-06-04 00:00:00,920319,D3
100121,2006-06-05 00:00:00,579357,D1
100122,2006-06-06 00:00:00,253687,L3
100123,2006-06-07 00:00:00,884340,L1
100124,2006-06-08 00:00:00,333832,D2
100125,2006-06-09 00:00:00,530305,D3
100126,2006-06-10 00:00:00,75748,L2
100127,2006-06-11 00:00:00,771249,D3
100128,2006-06-12 00:00:00,568552,L3
100129,2006-06-13 00:00:00,225807,D2
100130,2006-06-14 00:00:00,100466,D1
100131,2006-06-15 00:00:00,651884,D3
100132,2006-06-16 00:00:00,801435,L2
100133,2006-06-17 00:00:00,216014,L1
100134,2006-06-18 00:00:00,894017,D2
100135,2006-06-19 00:00:00,666984,D2
100136,2006-06-20 00:00:00,795030,D2
100137,2006-06-21 00:00:00,836783,L1
100138,2006-06-22 00:00:00,710452,D1
100139,2006-06-23 00:00:00,453774,D2
100140,2006-06-24 00:00:00,627856,D2
100141,2006-06-25 00:00:00,76380,D2
100142,2006-06-26 00:00:00,618927,D2
100143,2006-06-27 00:00:00,798781,D2
100144,2006-06-28 00:00:00,503062,D2
100145,2006-06-29 00:00:00,767696,L2
100146,2006-06-30 00:00:00,241039,D2
100147,2006-07-01 00:00:00,868050,L1
100148,2006-07-02 00:00:00,218394,D1
100149,2006-07-03 00:00:00,57627,D1
100150,2006-07-04 00:00:00,265480,D2
100151,2006-07-05 00:00:00,797128,D2
100152,2006-07-06 00:00:00,398794,D3
100153,2006-07-07 00:00:00,852977,D3
100154,2006-07-08 00:00:00,922783,D2
100155,2006-07-09 00:00:00,448163,D3
100156,2006-07-10 00:00:00,487942,L3
100157,2006-07-11 00:00:00,748126,D2
100158,2006-07-12 00:00:00,881879,D3
100159,2006-07-13 00:00:00,202842,D2
100160,2006-07-14 00:00:00,369037,L1
100161,2006-07-15 00:00:00,840784,D2
100162,2006-07-16 00:00:00,248328,D3
100163,2006-07-17 00:00:00,650667,L3
100164,2006-07-18 00:00:00,238842,D2
100165,2006-07-19 00:00:00,306934,D2
100166,2006-07-20 00:00:00,391632,D2
100167,2006-07-21 00:00:00,59445,D2
100168,2006-07-22 00:00:00,457519,D2
100169,2006-07-23 00:00:00,727665,D2
100170,2006-07-24 00:00:00,893165,D2
100171,2006-07-25 00:00:00,509683,L1
100172,2006-07-26 00:00:00,67705,L1
100173,2006-07-27 00:00:00,896543,D1
100174,2006-07-28 00:00:00,669641,D2
100175,2006-07-29 00:00:00,291682,L1
100176,2006-07-30 00:00:00,996256,L2
100177,2006-07-31 00:00:00,53226,D3
100178,2006-08-01 00:00:00,996957,D2
100179,2006-08-02 00:00:00,544166,L3
100180,2006-08-03 00:00:00,42785,L1
100181,2006-08-04 00:00:00,299042,D2
100182,2006-08-05 00:00:00,285215,D3
100183,2006-08-06 00:00:00,123386,D2
100184,2006-08-07 00:00:00,999176,L1
100185,2006-08-08 00:00:00,945725,D2
100186,2006-08-09 00:00:00,711370,D2
100187,2006-08-10 00:00:00,80754,D2
100188,2006-08-11 00:00:00,706833,L2
100189,2006-08-12 00:00:00,662942,D2
100190,2006-08-13 00:00:00,267506,L2
100191,2006-08-14 00:00:00,380214,D2
100192,2006-08-15 00:00:00,817204,D2
100193,2006-08-16 00:00:00,301531,D2
100194,2006-08-17 00:00:00,123680,L2
100195,2006-08-18 00:00:00,647028,D2
100196,2006-08-19 00:00:00,38966,D2
100197,2006-08-20 00:00:00,63121,D2
100198,2006-08-21 00:00:00,252390,L2
100199,2006-08-22 00:00:00,399180,D3
100200,2006-08-23 00:00:00,204558,D1
100001,2006-08-24 00:00:00,109335,L3
100002,2006-08-25 00:00:00,213870,L3
100003,2006-08-26 00:00:00,179098,D2
100004,2006-08-27 00:00:00,174034,D2
100005,2006-08-28 00:00:00,206483,D2
100006,2006-08-29 00:00:00,790860,D1
100007,2006-08-30 00:00:00,742960,D1
100008,2006-08-31 00:00:00,17803,D2
100009,2006-09-01 00:00:00,370801,L3
100010,2006-09-02 00:00:00,392896,L1
100011,2006-09-03 00:00:00,906350,D2
100012,2006-09-04 00:00:00,30785,L2
100013,2006-09-05 00:00:00,206126,L2
100014,2006-09-06 00:00:00,675189,D1
100015,2006-09-07 00:00:00,548433,D1
100016,2006-09-09 00:00:00,717590,D2
100017,2006-09-10 00:00:00,699037,D3
100018,2006-09-11 00:00:00,923350,D2
100019,2006-09-12 00:00:00,377922,D2
100020,2006-09-13 00:00:00,892095,D2
100021,2006-09-14 00:00:00,121151,D2
100022,2006-09-15 00:00:00,332603,L2
100023,2006-09-16 00:00:00,561550,L1
100024,2006-09-17 00:00:00,924756,D3
100025,2006-09-18 00:00:00,980788,D2
100026,2006-09-19 00:00:00,494059,D2
100027,2006-09-20 00:00:00,501567,L1
100028,2006-09-21 00:00:00,186539,D3
100029,2006-09-22 00:00:00,213646,D2
100030,2006-09-23 00:00:00,593996,D2
100031,2006-09-24 00:00:00,216632,D3
100032,2006-09-25 00:00:00,702970,D2
100033,2006-09-26 00:00:00,578315,L2
100034,2006-09-27 00:00:00,118909,L1
100035,2006-09-28 00:00:00,37970,L3
100036,2006-09-29 00:00:00,753648,D2
100037,2006-09-30 00:00:00,620790,D2
100038,2006-10-01 00:00:00,438050,D2
100039,2006-10-02 00:00:00,115969,L1
100040,2006-10-03 00:00:00,387129,D2
100041,2006-10-04 00:00:00,411795,L3
100042,2006-10-05 00:00:00,958132,L3
100043,2006-10-06 00:00:00,14140,D2
100044,2006-10-07 00:00:00,574627,L3
100045,2006-10-08 00:00:00,221931,D2
100046,2006-10-09 00:00:00,9163,D2
100047,2006-10-10 00:00:00,161719,L3
100048,2006-10-11 00:00:00,522124,L3
100049,2006-10-12 00:00:00,522390,D2
100050,2006-10-13 00:00:00,69159,D2
100051,2006-10-14 00:00:00,287447,D2
100052,2006-10-15 00:00:00,564479,L1
100053,2006-10-16 00:00:00,929791,D2
100054,2006-10-17 00:00:00,34778,D3
100161,2003-10-17 00:00:00,985101,D2
100162,2003-10-18 00:00:00,246007,L2
100163,2003-10-19 00:00:00,384112,D2
100164,2003-10-20 00:00:00,244886,D2
100165,2003-10-21 00:00:00,819979,L1
100166,2003-10-22 00:00:00,325701,L3
100167,2003-10-23 00:00:00,185624,D3
100168,2003-10-24 00:00:00,806253,L1
100169,2003-10-25 00:00:00,504287,D2
100170,2003-10-26 00:00:00,209692,D3
100171,2003-10-27 00:00:00,272742,L2
100172,2003-10-28 00:00:00,568825,L1
100173,2003-10-29 00:00:00,967019,L3
100174,2003-10-30 00:00:00,499803,L2
100175,2003-10-31 00:00:00,726722,D2
100176,2003-11-01 00:00:00,916722,D2
100177,2003-11-02 00:00:00,565020,L1
100178,2003-11-03 00:00:00,759911,D3
100179,2003-11-04 00:00:00,184974,D3
100180,2003-11-05 00:00:00,684199,D3
100181,2003-11-06 00:00:00,522828,D2
100182,2003-11-07 00:00:00,113368,L1
100183,2003-11-08 00:00:00,936750,D2
100184,2003-11-09 00:00:00,478164,D3
100185,2003-11-10 00:00:00,943823,L1
100186,2003-11-11 00:00:00,808909,D2
100187,2003-11-12 00:00:00,964254,L3
100188,2003-11-13 00:00:00,824671,D2
100189,2003-11-14 00:00:00,993868,D2
100190,2003-11-15 00:00:00,996395,L3
100191,2003-11-16 00:00:00,560261,L2
100192,2003-11-17 00:00:00,564288,L1
100193,2003-11-18 00:00:00,486447,D1
100194,2003-11-19 00:00:00,933635,D3
100195,2003-11-20 00:00:00,130615,L2
100196,2003-11-21 00:00:00,519803,L3
100197,2003-11-22 00:00:00,492015,D2
100198,2003-11-23 00:00:00,600464,L3
100199,2003-11-24 00:00:00,908891,D1
100200,2003-11-25 00:00:00,604126,L2
100001,2003-11-26 00:00:00,643113,D2
100002,2003-11-27 00:00:00,383203,D2
100003,2003-11-28 00:00:00,184489,L3
100004,2003-11-29 00:00:00,757500,L1
100005,2003-11-30 00:00:00,820543,D2
100006,2003-12-01 00:00:00,216548,L2
100007,2003-12-02 00:00:00,116711,L3
100008,2003-12-03 00:00:00,205305,D2
100009,2003-12-04 00:00:00,735546,D2
100010,2003-12-05 00:00:00,455558,L2
100011,2003-12-06 00:00:00,504822,D2
100012,2003-12-07 00:00:00,29335,L2
100013,2003-12-08 00:00:00,809665,D3
100014,2003-12-09 00:00:00,374386,L1
100015,2003-12-10 00:00:00,72062,D2
100016,2003-12-11 00:00:00,699720,D1
100017,2003-12-12 00:00:00,950746,L2
100018,2003-12-13 00:00:00,46636,D2
100019,2003-12-14 00:00:00,98108,D1
100020,2003-12-15 00:00:00,109462,D1
100021,2003-12-16 00:00:00,56224,L2
100022,2003-12-17 00:00:00,54012,L2
100023,2003-12-18 00:00:00,237091,L2
100024,2003-12-19 00:00:00,912951,D2
100025,2003-12-20 00:00:00,988063,D2
100026,2003-12-21 00:00:00,557429,L1
100027,2003-12-22 00:00:00,3264,L3
100028,2003-12-23 00:00:00,615989,D3
100029,2003-12-24 00:00:00,991801,D3
100030,2003-12-25 00:00:00,925997,D2
100031,2003-12-26 00:00:00,417070,D1
100032,2003-12-27 00:00:00,351570,L3
100033,2003-12-28 00:00:00,759761,L2
100034,2003-12-29 00:00:00,977015,D3
100035,2003-12-30 00:00:00,365218,D2
100036,2003-12-31 00:00:00,691928,D2
100037,2004-01-01 00:00:00,520380,L1
100038,2004-01-02 00:00:00,214020,L3
100039,2004-01-03 00:00:00,267108,D2
100040,2004-01-04 00:00:00,124798,D3
100041,2004-01-05 00:00:00,932678,D2
100042,2004-01-06 00:00:00,315983,L1
100043,2004-01-07 00:00:00,30502,L2
100044,2004-01-08 00:00:00,734062,D2
100045,2004-01-09 00:00:00,609397,D2
100046,2004-01-10 00:00:00,393106,L3
100047,2004-01-11 00:00:00,860300,L3
100048,2004-01-12 00:00:00,95082,L3
100049,2004-01-13 00:00:00,359034,D3
100050,2004-01-14 00:00:00,279136,D2
100051,2004-01-15 00:00:00,474419,D3
100052,2004-01-16 00:00:00,828705,L1
100053,2004-01-17 00:00:00,622404,D3
100054,2004-01-18 00:00:00,454765,D1
100055,2004-01-19 00:00:00,252572,L2
100056,2004-01-20 00:00:00,696674,D2
100057,2004-01-21 00:00:00,747456,D2
100058,2004-01-22 00:00:00,653570,D3
100059,2004-01-23 00:00:00,616980,D1
100060,2004-01-24 00:00:00,161272,D2
100061,2004-01-25 00:00:00,159554,D2
100062,2004-01-26 00:00:00,214299,D1
100063,2004-01-27 00:00:00,517898,L3
100064,2004-01-28 00:00:00,904151,D1
100065,2004-01-29 00:00:00,761467,L1
100066,2004-01-30 00:00:00,247101,L2
100067,2004-01-31 00:00:00,316888,L2
100068,2004-02-01 00:00:00,705678,D2
100069,2004-02-02 00:00:00,450698,D1
100070,2004-02-03 00:00:00,443751,L2
100071,2004-02-04 00:00:00,333877,D2
100072,2004-02-05 00:00:00,236928,D2
100073,2004-02-06 00:00:00,376595,L2
100074,2004-02-07 00:00:00,619038,D1
100075,2004-02-08 00:00:00,800139,L2
100076,2004-02-09 00:00:00,953245,D2
100077,2004-02-10 00:00:00,292611,L2
100078,2004-02-11 00:00:00,328106,D2
100079,2004-02-12 00:00:00,112178,D2
100080,2004-02-13 00:00:00,148237,D2
100081,2004-02-14 00:00:00,485144,L3
100082,2004-02-15 00:00:00,586353,D2
100083,2004-02-16 00:00:00,654377,L2
100084,2004-02-17 00:00:00,929809,D1
100085,2004-02-18 00:00:00,331324,D1
100086,2004-02-19 00:00:00,955472,D2
100087,2004-02-20 00:00:00,264254,D1
100088,2004-02-21 00:00:00,821793,D2
100089,2004-02-22 00:00:00,342916,D3
100090,2004-02-23 00:00:00,490530,D2
100091,2004-02-24 00:00:00,346590,D3
100092,2004-02-25 00:00:00,222325,D2
100093,2004-02-26 00:00:00,259255,D2
100094,2004-02-27 00:00:00,803746,D2
100095,2004-02-28 00:00:00,279318,D1
100096,2004-02-29 00:00:00,614510,D2
100097,2004-03-01 00:00:00,159184,L3
100098,2004-03-02 00:00:00,731224,L1
100099,2004-03-03 00:00:00,593999,D3
100100,2004-03-04 00:00:00,244956,L3
100101,2004-03-05 00:00:00,680119,L1
100102,2004-03-06 00:00:00,918961,L2
100103,2004-03-07 00:00:00,671563,D2
100104,2004-03-08 00:00:00,456359,L2
100105,2004-03-09 00:00:00,560480,D3
100106,2004-03-10 00:00:00,76959,D3
100107,2004-03-11 00:00:00,980862,D1
100108,2004-03-12 00:00:00,349868,D2
100109,2004-03-13 00:00:00,148316,D2
100110,2004-03-14 00:00:00,934438,D2
100111,2004-03-15 00:00:00,627946,D2
100112,2004-03-16 00:00:00,620676,D1
100113,2004-03-17 00:00:00,764990,L1
100114,2004-03-18 00:00:00,383951,D2
100115,2004-03-19 00:00:00,43459,D2
100116,2004-03-20 00:00:00,150194,L1
100117,2004-03-21 00:00:00,893012,D3
100118,2004-03-22 00:00:00,373248,D2
100119,2004-03-23 00:00:00,779712,D2
100120,2004-03-24 00:00:00,823079,D1
100121,2004-03-25 00:00:00,832271,D2
100122,2004-03-26 00:00:00,822133,L2
100123,2004-03-27 00:00:00,756763,L1
100124,2004-03-28 00:00:00,525929,D1
100125,2004-03-29 00:00:00,828410,L3
100126,2004-03-30 00:00:00,218039,D2
100127,2004-03-31 00:00:00,887565,D3
100128,2004-04-01 00:00:00,251779,D3
100129,2004-04-02 00:00:00,384247,D2
100130,2004-04-03 00:00:00,313471,D2
100131,2004-04-04 00:00:00,192246,L3
100132,2004-04-05 00:00:00,211030,L2
100133,2004-04-06 00:00:00,442535,D2
100134,2004-04-07 00:00:00,826086,L2
100135,2004-04-08 00:00:00,938174,D3
100136,2004-04-09 00:00:00,47756,D2
100137,2004-04-10 00:00:00,873091,L1
100138,2004-04-11 00:00:00,418575,D2
100139,2004-04-12 00:00:00,993444,D1
100140,2004-04-13 00:00:00,664782,L3
100141,2004-04-14 00:00:00,93313,D3
100142,2004-04-15 00:00:00,154041,D2
100143,2004-04-16 00:00:00,999998,D2
100144,2004-04-17 00:00:00,54790,D2
100145,2004-04-18 00:00:00,407081,L3
100146,2004-04-19 00:00:00,330191,D2
100147,2004-04-20 00:00:00,387160,D3
100148,2004-04-21 00:00:00,103305,D2
100149,2004-04-22 00:00:00,427914,D2
100150,2004-04-23 00:00:00,340214,D1
100151,2004-04-24 00:00:00,786551,L1
100152,2004-04-25 00:00:00,858459,L1
100153,2004-04-26 00:00:00,515445,D3
100154,2004-04-27 00:00:00,935079,D3
100155,2004-04-28 00:00:00,427828,L1
100156,2004-04-29 00:00:00,605997,D2
100157,2004-04-30 00:00:00,142693,D3
100158,2004-05-01 00:00:00,211308,L2
100159,2004-05-02 00:00:00,443216,L3
100160,2004-05-03 00:00:00,98284,D1
100161,2004-05-04 00:00:00,244355,L2
100162,2004-05-05 00:00:00,242926,L1
100163,2004-05-06 00:00:00,1443,D2
100164,2004-05-07 00:00:00,506990,D2
100165,2004-05-08 00:00:00,607657,D2
100166,2004-05-09 00:00:00,969725,D2
100167,2004-05-10 00:00:00,871179,D1
100168,2004-05-11 00:00:00,577907,D1
100169,2004-05-12 00:00:00,810180,D3
100170,2004-05-13 00:00:00,614269,L2
100171,2004-05-14 00:00:00,171119,L1
100172,2004-05-15 00:00:00,857287,L1
100173,2004-05-16 00:00:00,412502,D2
100174,2004-05-17 00:00:00,675774,D2
100175,2004-05-18 00:00:00,807285,D2
100176,2004-05-19 00:00:00,264018,D2
100177,2004-05-20 00:00:00,541995,D2
100178,2004-05-21 00:00:00,309548,D2
100179,2004-05-22 00:00:00,669531,L2
100180,2004-05-23 00:00:00,521710,D2
100181,2004-05-24 00:00:00,100291,L2
100182,2004-05-25 00:00:00,749396,D3
100183,2004-05-26 00:00:00,588913,D2
100184,2004-05-27 00:00:00,190494,L1
100185,2004-05-28 00:00:00,840886,L3
100186,2004-05-29 00:00:00,331461,D1
100187,2004-05-30 00:00:00,895920,D1
100188,2004-05-31 00:00:00,335011,D2
100189,2004-06-01 00:00:00,506320,L3
100190,2004-06-02 00:00:00,201786,D2
100191,2004-06-03 00:00:00,413668,D2
100192,2004-06-04 00:00:00,407881,D2
100193,2004-06-05 00:00:00,605259,D2
100194,2004-06-06 00:00:00,921072,D1
100195,2004-06-07 00:00:00,558234,L1
100196,2004-06-08 00:00:00,58740,D1
100197,2004-06-09 00:00:00,902933,L2
100198,2004-06-10 00:00:00,786292,D2
100199,2004-06-11 00:00:00,511418,L1
100200,2004-06-12 00:00:00,682967,D2
100001,2004-06-13 00:00:00,215905,D2
100002,2004-06-14 00:00:00,872253,D2
100003,2004-06-15 00:00:00,767755,L3
100004,2004-06-16 00:00:00,331487,D3
100005,2004-06-17 00:00:00,999517,L2
100006,2004-06-18 00:00:00,248680,D3
100007,2004-06-19 00:00:00,687264,L1
100008,2004-06-20 00:00:00,90723,L2
100009,2004-06-21 00:00:00,429207,D3
100010,2004-06-22 00:00:00,620689,D2
100011,2004-06-23 00:00:00,660957,D2
100012,2004-06-24 00:00:00,398689,D2
100013,2004-06-25 00:00:00,811652,D3
100014,2004-06-26 00:00:00,90949,L1
100015,2004-06-27 00:00:00,713594,D2
100016,2004-06-28 00:00:00,693792,D2
100017,2004-06-29 00:00:00,173957,D2
100018,2004-06-30 00:00:00,913872,D2
100019,2004-07-01 00:00:00,694214,D2
100020,2004-07-02 00:00:00,233993,D2
100021,2004-07-03 00:00:00,721173,L3
100022,2004-07-04 00:00:00,156986,D2
100023,2004-07-05 00:00:00,211225,L1
100024,2004-07-06 00:00:00,405268,D2
100025,2004-07-07 00:00:00,988799,L3
100026,2004-07-08 00:00:00,95762,L1
100027,2004-07-09 00:00:00,241760,L1
100028,2004-07-10 00:00:00,635337,L3
100029,2004-07-11 00:00:00,578639,D3
100030,2004-07-12 00:00:00,470546,D2
100031,2004-07-13 00:00:00,42573,D1
100032,2004-07-14 00:00:00,819479,L2
100033,2004-07-15 00:00:00,146328,D2
100034,2004-07-16 00:00:00,180405,L2
100035,2004-07-17 00:00:00,608295,L3
100036,2004-07-18 00:00:00,121415,D3
100037,2004-07-19 00:00:00,373790,D3
100038,2004-07-20 00:00:00,344811,L2
100039,2004-07-21 00:00:00,684518,L3
100146,2001-07-21 00:00:00,316306,L2
100147,2001-07-22 00:00:00,469189,L1
100148,2001-07-23 00:00:00,320723,D2
100149,2001-07-24 00:00:00,778520,L1
100150,2001-07-25 00:00:00,908321,L3
100151,2001-07-26 00:00:00,243117,D2
100152,2001-07-27 00:00:00,949480,L1
100153,2001-07-28 00:00:00,740971,L3
100154,2001-07-29 00:00:00,611645,L3
100155,2001-07-30 00:00:00,230206,L1
100156,2001-07-31 00:00:00,304180,L3
100157,2001-08-01 00:00:00,592212,D2
100158,2001-08-02 00:00:00,164190,L1
100159,2001-08-03 00:00:00,384190,D3
100160,2001-08-04 00:00:00,914805,D3
100161,2001-08-05 00:00:00,488813,D2
100162,2001-08-06 00:00:00,894718,L1
100163,2001-08-07 00:00:00,537656,D1
100164,2001-08-08 00:00:00,759363,D1
100165,2001-08-09 00:00:00,191491,D3
100166,2001-08-10 00:00:00,916342,D2
100167,2001-08-11 00:00:00,770417,L2
100168,2001-08-12 00:00:00,1116,D1
100169,2001-08-13 00:00:00,437608,D2
100170,2001-08-14 00:00:00,707116,L2
100171,2001-08-15 00:00:00,934020,L1
100172,2001-08-16 00:00:00,638360,D3
100173,2001-08-17 00:00:00,752360,D2
100174,2001-08-18 00:00:00,739080,D2
100175,2001-08-19 00:00:00,951054,D3
100176,2001-08-20 00:00:00,540535,D2
100177,2001-08-21 00:00:00,62497,D3
100178,2001-08-22 00:00:00,994599,D1
100179,2001-08-23 00:00:00,254124,L2
100180,2001-08-24 00:00:00,537673,D2
100181,2001-08-25 00:00:00,753924,D1
100182,2001-08-26 00:00:00,309362,D2
100183,2001-08-27 00:00:00,115562,D2
100184,2001-08-28 00:00:00,613097,L2
100185,2001-08-29 00:00:00,54092,D1
100186,2001-08-30 00:00:00,605807,D2
100187,2001-08-31 00:00:00,619760,L1
100188,2001-09-01 00:00:00,856999,D3
100189,2001-09-02 00:00:00,328251,L2
100190,2001-09-03 00:00:00,750575,D2
100191,2001-09-04 00:00:00,366310,L3
100192,2001-09-05 00:00:00,521928,L3
100193,2001-09-06 00:00:00,935495,D2
100194,2001-09-07 00:00:00,145721,D1
100195,2001-09-08 00:00:00,764168,L2
100196,2001-09-09 00:00:00,895783,D1
100197,2001-09-10 00:00:00,677061,L3
100198,2001-09-11 00:00:00,929484,D2
100199,2001-09-12 00:00:00,894502,D2
100200,2001-09-13 00:00:00,388501,D1
100001,2001-09-14 00:00:00,655627,L1
100002,2001-09-15 00:00:00,40930,D2
100003,2001-09-16 00:00:00,680440,D2
100004,2001-09-17 00:00:00,559658,D2
100005,2001-09-18 00:00:00,177921,D2
100006,2001-09-19 00:00:00,609613,D2
100007,2001-09-20 00:00:00,18867,L3
100008,2001-09-21 00:00:00,381059,D2
100009,2001-09-22 00:00:00,522212,L1
100010,2001-09-23 00:00:00,116175,D2
100011,2001-09-24 00:00:00,75581,L3
100012,2001-09-25 00:00:00,159000,D3
100013,2001-09-26 00:00:00,734135,L3
100014,2001-09-27 00:00:00,514865,D2
100015,2001-09-28 00:00:00,650778,D3
100016,2001-09-29 00:00:00,587739,L3
100017,2001-09-30 00:00:00,985482,D2
100018,2001-10-01 00:00:00,837666,D2
100019,2001-10-02 00:00:00,552151,L3
100020,2001-10-03 00:00:00,825892,L1
100021,2001-10-04 00:00:00,504069,D1
